"","Date","Day.of.week","distance","Time","Pace","MD","Month","Year","STATION","NAME","TMAX","TMIN","Avg.Temp"
"1",2009-05-23,"Saturday",5.01,"0:34:55",6.96666666666667,"23-May",5,2009,"USC00367938","SELLERSVILLE, PA US",83,46,68
"2",2009-06-17,"Wednesday",5.46,"0:58:05",10.6333333333333,"17-Jun",6,2009,"USC00367938","SELLERSVILLE, PA US",68,52,56
"3",2009-06-25,"Thursday",4.48,"0:45:39",10.1833333333333,"25-Jun",6,2009,"USC00367938","SELLERSVILLE, PA US",82,66,68
"4",2009-07-04,"Saturday",4.69,"0:49:11",10.4833333333333,"4-Jul",7,2009,"USC00367938","SELLERSVILLE, PA US",77,58,69
"5",2009-07-11,"Saturday",4.83,"0:51:35",10.6833333333333,"11-Jul",7,2009,"USC00367938","SELLERSVILLE, PA US",80,58,69
"6",2009-07-18,"Saturday",4.84,"0:50:48",10.5,"18-Jul",7,2009,"USC00367938","SELLERSVILLE, PA US",84,63,65
"7",2009-08-14,"Friday",4.83,"0:51:05",10.5833333333333,"14-Aug",8,2009,"USC00367938","SELLERSVILLE, PA US",77,63,63
"8",2009-08-26,"Wednesday",6.01,"1:02:10",10.35,"26-Aug",8,2009,"USC00367938","SELLERSVILLE, PA US",83,63,68
"9",2009-08-30,"Sunday",5,"0:53:39",10.7333333333333,"30-Aug",8,2009,"USC00367938","SELLERSVILLE, PA US",81,65,66
"10",2009-09-06,"Sunday",5.21,"0:53:53",10.35,"6-Sep",9,2009,"USC00367938","SELLERSVILLE, PA US",83,57,67
"11",2009-09-22,"Tuesday",6,"0:59:04",9.85,"22-Sep",9,2009,"USC00367938","SELLERSVILLE, PA US",75,48,59
"12",2009-09-26,"Saturday",6.01,"0:59:34",9.91666666666667,"26-Sep",9,2009,"USC00367938","SELLERSVILLE, PA US",72,46,49
"13",2009-10-03,"Saturday",5.88,"0:59:57",10.2,"3-Oct",10,2009,"USC00367938","SELLERSVILLE, PA US",64,43,60
"14",2009-10-11,"Sunday",5.96,"1:01:31",10.3166666666667,"11-Oct",10,2009,"USC00367938","SELLERSVILLE, PA US",63,36,37
"15",2009-10-18,"Sunday",5.72,"0:58:24",10.2166666666667,"18-Oct",10,2009,"USC00367938","SELLERSVILLE, PA US",46,39,41
"16",2009-10-30,"Friday",5.64,"0:57:21",10.1666666666667,"30-Oct",10,2009,"USC00367938","SELLERSVILLE, PA US",59,48,50
"17",2010-01-28,"Thursday",6.03,"1:00:51",10.0833333333333,"28-Jan",1,2010,"USC00367938","SELLERSVILLE, PA US",36,21,28
"18",2010-02-18,"Thursday",6.06,"1:00:21",9.96666666666667,"18-Feb",2,2010,"USC00367938","SELLERSVILLE, PA US",34,16,32
"19",2010-02-27,"Saturday",6.19,"1:01:46",9.98333333333333,"27-Feb",2,2010,"USC00367938","SELLERSVILLE, PA US",35,19,26
"20",2010-03-07,"Sunday",6.06,"1:02:37",10.3333333333333,"7-Mar",3,2010,"USC00367938","SELLERSVILLE, PA US",51,22,27
"21",2010-03-21,"Sunday",5.92,"1:02:02",10.4833333333333,"21-Mar",3,2010,"USC00367938","SELLERSVILLE, PA US",74,35,43
"22",2010-03-28,"Sunday",5.99,"0:59:19",9.9,"28-Mar",3,2010,"USC00367938","SELLERSVILLE, PA US",46,26,30
"23",2010-04-03,"Saturday",6,"0:54:18",9.05,"3-Apr",4,2010,"USC00367938","SELLERSVILLE, PA US",74,42,57
"24",2010-04-11,"Sunday",6.2,"1:00:48",9.8,"11-Apr",4,2010,"USC00367938","SELLERSVILLE, PA US",60,35,37
