Day of week,Date,distance,Time,Pace,MD,Month,Year
Saturday,12/29/2018,4.97,0:41:41,0:08:23,29-Dec,12,2018
Friday,12/14/2018,5.02,0:42:45,0:08:31,14-Dec,12,2018
Sunday,11/25/2018,4.98,0:41:58,0:08:26,25-Nov,11,2018
Sunday,10/21/2018,5,0:43:02,0:08:36,21-Oct,10,2018
Sunday,10/14/2018,4.95,0:43:13,0:08:44,14-Oct,10,2018
Saturday,10/6/2018,4.99,0:43:25,0:08:42,6-Oct,10,2018
Monday,10/1/2018,4.98,0:43:40,0:08:46,1-Oct,10,2018
Saturday,9/22/2018,4.98,0:43:49,0:08:48,22-Sep,9,2018
Saturday,9/15/2018,6.44,0:56:47,0:08:49,15-Sep,9,2018
Saturday,9/8/2018,6.41,0:56:34,0:08:49,8-Sep,9,2018
Saturday,9/1/2018,4.92,0:44:39,0:09:05,1-Sep,9,2018
Thursday,8/23/2018,4.99,0:42:38,0:08:33,23-Aug,8,2018
Saturday,8/18/2018,4.96,0:42:52,0:08:39,18-Aug,8,2018
Sunday,8/12/2018,5,0:43:54,0:08:47,12-Aug,8,2018
Thursday,8/2/2018,5.02,0:43:41,0:08:42,2-Aug,8,2018
Friday,7/27/2018,4.95,0:42:53,0:08:40,27-Jul,7,2018
Saturday,7/21/2018,5,0:53:00,0:10:36,21-Jul,7,2018
Tuesday,7/17/2018,4.99,0:43:21,0:08:41,17-Jul,7,2018
Friday,7/13/2018,6,0:53:00,0:08:50,13-Jul,7,2018
Sunday,7/8/2018,4.98,0:42:50,0:08:36,8-Jul,7,2018
Wednesday,7/4/2018,4.97,0:43:56,0:08:50,4-Jul,7,2018
Thursday,6/21/2018,5,0:43:01,0:08:36,21-Jun,6,2018
Friday,6/8/2018,4.97,0:42:56,0:08:38,8-Jun,6,2018
Monday,6/4/2018,4.96,0:42:55,0:08:39,4-Jun,6,2018
Sunday,5/20/2018,4.97,0:44:15,0:08:54,20-May,5,2018
Monday,5/7/2018,4.95,0:42:38,0:08:37,7-May,5,2018
Saturday,4/28/2018,4.98,0:42:02,0:08:26,28-Apr,4,2018
Sunday,4/22/2018,4.98,0:42:18,0:08:30,22-Apr,4,2018
Friday,4/13/2018,5,0:43:32,0:08:42,13-Apr,4,2018
Monday,3/26/2018,5,0:41:31,0:08:18,26-Mar,3,2018
Sunday,3/18/2018,5.01,0:41:42,0:08:19,18-Mar,3,2018
Tuesday,3/13/2018,4.98,0:41:22,0:08:18,13-Mar,3,2018
Tuesday,2/27/2018,5.03,0:40:55,0:08:08,27-Feb,2,2018
Saturday,2/24/2018,5.01,0:41:21,0:08:15,24-Feb,2,2018
Wednesday,2/21/2018,5.01,0:42:14,0:08:26,21-Feb,2,2018
Friday,2/16/2018,5,0:41:39,0:08:20,16-Feb,2,2018
Saturday,2/10/2018,6,0:49:13,0:08:12,10-Feb,2,2018
Saturday,1/27/2018,5,0:41:11,0:08:14,27-Jan,1,2018
Sunday,1/14/2018,4.83,0:41:44,0:08:38,14-Jan,1,2018
Tuesday,12/26/2017,5,0:42:04,0:08:25,26-Dec,12,2017
Thursday,12/21/2017,5,0:41:51,0:08:22,21-Dec,12,2017
Monday,12/18/2017,5.02,0:41:50,0:08:20,18-Dec,12,2017
Saturday,12/2/2017,4.9,0:41:33,0:08:29,2-Dec,12,2017
Monday,11/27/2017,4.9,0:41:46,0:08:31,27-Nov,11,2017
Friday,11/24/2017,5,0:41:57,0:08:23,24-Nov,11,2017
Tuesday,11/21/2017,4.9,0:42:11,0:08:37,21-Nov,11,2017
Wednesday,11/15/2017,4.9,0:41:42,0:08:31,15-Nov,11,2017
Sunday,11/12/2017,4.9,0:41:47,0:08:32,12-Nov,11,2017
Wednesday,11/8/2017,4.9,0:42:09,0:08:36,8-Nov,11,2017
Saturday,11/4/2017,4.9,0:41:47,0:08:32,4-Nov,11,2017
Tuesday,10/31/2017,4.9,0:42:00,0:08:34,31-Oct,10,2017
Saturday,10/28/2017,4.9,0:42:34,0:08:41,28-Oct,10,2017
Saturday,10/21/2017,4.82,0:40:42,0:08:27,21-Oct,10,2017
Wednesday,10/11/2017,4.98,0:42:16,0:08:29,11-Oct,10,2017
Saturday,9/30/2017,5.05,0:41:54,0:08:18,30-Sep,9,2017
Tuesday,9/26/2017,5.01,0:42:59,0:08:35,26-Sep,9,2017
Saturday,9/23/2017,4.92,0:41:52,0:08:31,23-Sep,9,2017
Thursday,9/21/2017,5,0:43:40,0:08:44,21-Sep,9,2017
Sunday,9/17/2017,4.92,0:44:14,0:08:59,17-Sep,9,2017
