Day of week,Date,distance,Time,Pace,MD,Month,Year
Saturday,12/29/18,4.97,0:41:41,0:08:23,12/29/20,12,2018
Friday,12/21/18,3.5,0:30:03,0:08:35,12/21/20,12,2018
Friday,12/14/18,5.02,0:42:45,0:08:31,12/14/20,12,2018
Monday,12/10/18,3.51,0:29:23,0:08:22,12/10/20,12,2018
Sunday,11/25/18,4.98,0:41:58,0:08:26,11/25/20,11,2018
Tuesday,11/20/18,3.51,0:29:02,0:08:16,11/20/20,11,2018
Thursday,11/15/18,3.5,0:31:30,0:09:00,11/15/20,11,2018
Wednesday,11/7/18,3.84,0:33:17,0:08:40,11/7/20,11,2018
Monday,10/29/18,3.51,0:30:34,0:08:43,10/29/20,10,2018
Sunday,10/21/18,5,0:43:02,0:08:36,10/21/20,10,2018
Wednesday,10/17/18,3.45,0:29:26,0:08:32,10/17/20,10,2018
Sunday,10/14/18,4.95,0:43:13,0:08:44,10/14/20,10,2018
Wednesday,10/10/18,3.48,0:30:20,0:08:43,10/10/20,10,2018
Saturday,10/6/18,4.99,0:43:25,0:08:42,10/6/20,10,2018
Monday,10/1/18,4.98,0:43:40,0:08:46,10/1/20,10,2018
Thursday,9/27/18,3.48,0:30:10,0:08:40,9/27/20,9,2018
Saturday,9/22/18,4.98,0:43:49,0:08:48,9/22/20,9,2018
Wednesday,9/19/18,3.5,0:30:16,0:08:39,9/19/20,9,2018
Saturday,9/15/18,6.44,0:56:47,0:08:49,9/15/20,9,2018
Wednesday,9/12/18,3.5,0:30:02,0:08:35,9/12/20,9,2018
Saturday,9/8/18,6.41,0:56:34,0:08:49,9/8/20,9,2018
Wednesday,9/5/18,3.51,0:30:28,0:08:41,9/5/20,9,2018
Saturday,9/1/18,4.92,0:44:39,0:09:05,9/1/20,9,2018
Wednesday,8/29/18,3.46,0:31:17,0:09:02,8/29/20,8,2018
Saturday,8/25/18,8.96,1:37:18,0:10:52,8/25/20,8,2018
Thursday,8/23/18,4.99,0:42:38,0:08:33,8/23/20,8,2018
Saturday,8/18/18,4.96,0:42:52,0:08:39,8/18/20,8,2018
Sunday,8/12/18,5,0:43:54,0:08:47,8/12/20,8,2018
Thursday,8/9/18,3.51,0:30:16,0:08:37,8/9/20,8,2018
Tuesday,8/7/18,3.52,0:30:49,0:08:45,8/7/20,8,2018
Thursday,8/2/18,5.02,0:43:41,0:08:42,8/2/20,8,2018
Friday,7/27/18,4.95,0:42:53,0:08:40,7/27/20,7,2018
Saturday,7/21/18,5,0:53:00,0:10:36,7/21/20,7,2018
Tuesday,7/17/18,4.99,0:43:21,0:08:41,7/17/20,7,2018
Friday,7/13/18,6,0:53:00,0:08:50,7/13/20,7,2018
Wednesday,7/11/18,3.5,0:30:29,0:08:43,7/11/20,7,2018
Sunday,7/8/18,4.98,0:42:50,0:08:36,7/8/20,7,2018
Wednesday,7/4/18,4.97,0:43:56,0:08:50,7/4/20,7,2018
Thursday,6/21/18,5,0:43:01,0:08:36,6/21/20,6,2018
Friday,6/15/18,3.65,0:31:16,0:08:34,6/15/20,6,2018
Monday,6/11/18,3.51,0:29:41,0:08:27,6/11/20,6,2018
Friday,6/8/18,4.97,0:42:56,0:08:38,6/8/20,6,2018
Monday,6/4/18,4.96,0:42:55,0:08:39,6/4/20,6,2018
Monday,5/28/18,3.5,0:29:53,0:08:32,5/28/20,5,2018
Sunday,5/20/18,4.97,0:44:15,0:08:54,5/20/20,5,2018
Thursday,5/17/18,3.51,0:29:41,0:08:27,5/17/20,5,2018
Friday,5/11/18,3.51,0:28:48,0:08:12,5/11/20,5,2018
Monday,5/7/18,4.95,0:42:38,0:08:37,5/7/20,5,2018
Thursday,5/3/18,3.5,0:29:21,0:08:23,5/3/20,5,2018
Saturday,4/28/18,4.98,0:42:02,0:08:26,4/28/20,4,2018
Thursday,4/26/18,3.54,0:29:04,0:08:13,4/26/20,4,2018
Sunday,4/22/18,4.98,0:42:18,0:08:30,4/22/20,4,2018
Wednesday,4/18/18,3.51,0:28:36,0:08:09,4/18/20,4,2018
Friday,4/13/18,5,0:43:32,0:08:42,4/13/20,4,2018
Saturday,4/7/18,3.52,0:30:28,0:08:39,4/7/20,4,2018
Wednesday,4/4/18,3.49,0:28:44,0:08:14,4/4/20,4,2018
Monday,3/26/18,5,0:41:31,0:08:18,3/26/20,3,2018
Tuesday,3/20/18,3.5,0:29:16,0:08:22,3/20/20,3,2018
Sunday,3/18/18,5.01,0:41:42,0:08:19,3/18/20,3,2018
Tuesday,3/13/18,4.98,0:41:22,0:08:18,3/13/20,3,2018
Saturday,3/10/18,3.47,0:28:58,0:08:21,3/10/20,3,2018
Saturday,3/4/18,3.3,0:26:51,0:08:08,3/4/20,3,2018
Tuesday,2/27/18,5.03,0:40:55,0:08:08,2/27/20,2,2018
Saturday,2/24/18,5.01,0:41:21,0:08:15,2/24/20,2,2018
Wednesday,2/21/18,5.01,0:42:14,0:08:26,2/21/20,2,2018
Friday,2/16/18,5,0:41:39,0:08:20,2/16/20,2,2018
Monday,2/12/18,3.5,0:28:06,0:08:02,2/12/20,2,2018
Saturday,2/10/18,6,0:49:13,0:08:12,2/10/20,2,2018
Thursday,2/1/18,3.51,0:28:34,0:08:08,2/1/20,2,2018
Saturday,1/27/18,5,0:41:11,0:08:14,1/27/20,1,2018
Monday,1/22/18,3.52,0:29:11,0:08:17,1/22/20,1,2018
Sunday,1/14/18,4.83,0:41:44,0:08:38,1/14/20,1,2018
Tuesday,1/2/18,3.5,0:30:00,0:08:34,1/2/20,1,2018
Tuesday,12/26/17,5,0:42:04,0:08:25,12/26/20,12,2017
Thursday,12/21/17,5,0:41:51,0:08:22,12/21/20,12,2017
Monday,12/18/17,5.02,0:41:50,0:08:20,12/18/20,12,2017
Saturday,12/2/17,4.9,0:41:33,0:08:29,12/2/20,12,2017
Monday,11/27/17,4.9,0:41:46,0:08:31,11/27/20,11,2017
Friday,11/24/17,5,0:41:57,0:08:23,11/24/20,11,2017
Tuesday,11/21/17,4.9,0:42:11,0:08:37,11/21/20,11,2017
Wednesday,11/15/17,4.9,0:41:42,0:08:31,11/15/20,11,2017
Sunday,11/12/17,4.9,0:41:47,0:08:32,11/12/20,11,2017
Wednesday,11/8/17,4.9,0:42:09,0:08:36,11/8/20,11,2017
Saturday,11/4/17,4.9,0:41:47,0:08:32,11/4/20,11,2017
Tuesday,10/31/17,4.9,0:42:00,0:08:34,10/31/20,10,2017
Saturday,10/28/17,4.9,0:42:34,0:08:41,10/28/20,10,2017
Saturday,10/21/17,4.82,0:40:42,0:08:27,10/21/20,10,2017
Wednesday,10/11/17,4.98,0:42:16,0:08:29,10/11/20,10,2017
Sunday,10/8/17,7.17,1:03:36,0:08:52,10/8/20,10,2017
Saturday,9/30/17,5.05,0:41:54,0:08:18,9/30/20,9,2017
Tuesday,9/26/17,5.01,0:42:59,0:08:35,9/26/20,9,2017
Saturday,9/23/17,4.92,0:41:52,0:08:31,9/23/20,9,2017
Thursday,9/21/17,5,0:43:40,0:08:44,9/21/20,9,2017
Sunday,9/17/17,4.92,0:44:14,0:08:59,9/17/20,9,2017
Friday,9/15/17,3.3,0:27:26,0:08:19,9/15/20,9,2017
Sunday,9/10/17,2.52,0:23:07,0:09:10,9/10/20,9,2017
Friday,9/8/17,5,0:43:58,0:08:48,9/8/20,9,2017
Friday,9/1/17,5,0:43:19,0:08:40,9/1/20,9,2017
Sunday,8/27/17,8.77,1:35:06,0:10:51,8/27/20,8,2017
Friday,8/25/17,5.01,0:43:47,0:08:44,8/25/20,8,2017
Thursday,8/17/17,3.55,0:29:48,0:08:24,8/17/20,8,2017
Sunday,8/13/17,7.23,1:04:58,0:08:59,8/13/20,8,2017
Sunday,8/6/17,7.25,1:03:59,0:08:50,8/6/20,8,2017
Tuesday,8/1/17,3.5,0:30:40,0:08:46,8/1/20,8,2017
Friday,7/28/17,5,0:45:31,0:09:06,7/28/20,7,2017
Wednesday,7/26/17,5,0:44:10,0:08:50,7/26/20,7,2017
Monday,7/24/17,3.53,0:30:46,0:08:43,7/24/20,7,2017
Saturday,7/15/17,3.18,0:25:39,0:08:04,7/15/20,7,2017
Thursday,7/13/17,5,0:43:08,0:08:38,7/13/20,7,2017
Tuesday,7/11/17,5,0:43:08,0:08:38,7/11/20,7,2017
Sunday,7/9/17,6.5,0:55:40,0:08:34,7/9/20,7,2017
Tuesday,7/4/17,3.2,0:24:04,0:07:31,7/4/20,7,2017
Sunday,7/2/17,4.72,0:42:51,0:09:05,7/2/20,7,2017
Tuesday,6/27/17,3.59,0:32:30,0:09:03,6/27/20,6,2017
Sunday,6/25/17,7.25,1:02:56,0:08:41,6/25/20,6,2017
Tuesday,6/20/17,4.01,0:34:56,0:08:43,6/20/20,6,2017
Thursday,6/15/17,5.01,0:41:32,0:08:17,6/15/20,6,2017
Tuesday,6/13/17,3.51,0:29:37,0:08:26,6/13/20,6,2017
Saturday,6/10/17,4.66,0:40:11,0:08:37,6/10/20,6,2017
Thursday,6/8/17,3.54,0:29:16,0:08:16,6/8/20,6,2017
Wednesday,6/7/17,3.51,0:29:52,0:08:31,6/7/20,6,2017
Sunday,6/4/17,4.75,0:41:14,0:08:41,6/4/20,6,2017
Wednesday,5/31/17,3.52,0:29:19,0:08:20,5/31/20,5,2017
Monday,5/22/17,4.98,0:42:10,0:08:28,5/22/20,5,2017
Thursday,5/18/17,3.5,0:29:05,0:08:19,5/18/20,5,2017
Sunday,5/14/17,5,0:42:55,0:08:35,5/14/20,5,2017
Thursday,4/27/17,3.3,0:27:31,0:08:20,4/27/20,4,2017
Monday,4/24/17,4.5,0:38:55,0:08:39,4/24/20,4,2017
Sunday,4/23/17,3.3,0:27:44,0:08:24,4/23/20,4,2017
Saturday,4/22/17,3.3,0:27:31,0:08:20,4/22/20,4,2017
Friday,4/21/17,4.5,0:37:35,0:08:21,4/21/20,4,2017
Thursday,4/20/17,4.5,0:38:38,0:08:35,4/20/20,4,2017
Wednesday,4/19/17,4.51,0:39:35,0:08:47,4/19/20,4,2017
Sunday,4/16/17,5.01,0:44:08,0:08:49,4/16/20,4,2017
Thursday,4/13/17,5.03,0:43:39,0:08:41,4/13/20,4,2017
Sunday,4/9/17,5,0:41:58,0:08:24,4/9/20,4,2017
Wednesday,4/5/17,4.5,0:38:56,0:08:39,4/5/20,4,2017
Sunday,4/2/17,5,0:42:58,0:08:36,4/2/20,4,2017
Sunday,3/19/17,5.08,0:43:51,0:08:38,3/19/20,3,2017
Sunday,3/12/17,5.01,0:43:52,0:08:45,3/12/20,3,2017
Wednesday,3/1/17,5,0:43:39,0:08:44,3/1/20,3,2017
Sunday,2/26/17,5,0:43:32,0:08:42,2/26/20,2,2017
Thursday,2/23/17,4.98,0:45:05,0:09:03,2/23/20,2,2017
Saturday,2/18/17,5,0:43:57,0:08:47,2/18/20,2,2017
Sunday,2/5/17,5,0:42:41,0:08:32,2/5/20,2,2017
Sunday,1/29/17,5.01,0:43:25,0:08:40,1/29/20,1,2017
Sunday,1/22/17,5.01,0:43:26,0:08:40,1/22/20,1,2017
Sunday,1/15/17,5,0:43:15,0:08:39,1/15/20,1,2017
Sunday,1/1/17,5,0:44:11,0:08:50,1/1/20,1,2017
Friday,12/23/16,5,0:43:27,0:08:41,12/23/20,12,2016
Wednesday,12/14/16,3.04,0:27:03,0:08:54,12/14/20,12,2016
Sunday,12/4/16,6,0:51:43,0:08:37,12/4/20,12,2016
Sunday,11/27/16,5,0:41:46,0:08:21,11/27/20,11,2016
Sunday,11/20/16,5,0:42:29,0:08:30,11/20/20,11,2016
Saturday,11/5/16,5,0:42:08,0:08:26,11/5/20,11,2016
Sunday,10/30/16,6,0:53:22,0:08:54,10/30/20,10,2016
Sunday,10/16/16,6.01,0:51:59,0:08:39,10/16/20,10,2016
Sunday,10/9/16,5.99,0:53:06,0:08:52,10/9/20,10,2016
Sunday,10/2/16,5.99,0:52:57,0:08:50,10/2/20,10,2016
Sunday,9/25/16,6.5,0:55:09,0:08:29,9/25/20,9,2016
Saturday,9/17/16,6.05,0:52:53,0:08:44,9/17/20,9,2016
Saturday,9/10/16,5.99,0:53:28,0:08:56,9/10/20,9,2016
Sunday,9/4/16,5.11,0:44:23,0:08:41,9/4/20,9,2016
Saturday,8/27/16,5.61,1:02:59,0:11:14,8/27/20,8,2016
Sunday,8/21/16,6.02,0:52:56,0:08:48,8/21/20,8,2016
Sunday,8/14/16,6,0:53:56,0:08:59,8/14/20,8,2016
Saturday,8/6/16,5.75,1:31:12,0:15:52,8/6/20,8,2016
Sunday,7/31/16,5,0:45:06,0:09:01,7/31/20,7,2016
Wednesday,7/27/16,4.56,0:40:02,0:08:47,7/27/20,7,2016
Sunday,7/24/16,4,0:38:42,0:09:41,7/24/20,7,2016
Thursday,7/14/16,5,0:45:27,0:09:05,7/14/20,7,2016
Tuesday,7/12/16,5,0:44:54,0:08:59,7/12/20,7,2016
Sunday,7/10/16,5,0:42:43,0:08:33,7/10/20,7,2016
Friday,7/8/16,5,0:43:49,0:08:46,7/8/20,7,2016
Sunday,7/3/16,6,0:51:22,0:08:34,7/3/20,7,2016
Friday,6/24/16,5.76,0:48:57,0:08:30,6/24/20,6,2016
Saturday,6/18/16,6.25,0:53:52,0:08:37,6/18/20,6,2016
Sunday,6/12/16,6.25,0:55:28,0:08:52,6/12/20,6,2016
Thursday,6/2/16,5,0:41:55,0:08:23,6/2/20,6,2016
Saturday,5/28/16,6.25,0:53:25,0:08:33,5/28/20,5,2016
Saturday,5/21/16,6,0:52:58,0:08:50,5/21/20,5,2016
Thursday,5/19/16,3.96,0:35:42,0:09:01,5/19/20,5,2016
Sunday,5/15/16,6.5,0:54:57,0:08:27,5/15/20,5,2016
Saturday,5/7/16,6,0:51:46,0:08:38,5/7/20,5,2016
Wednesday,4/27/16,5,0:42:54,0:08:35,4/27/20,4,2016
Sunday,4/24/16,7.25,1:02:33,0:08:38,4/24/20,4,2016
Sunday,4/17/16,6,0:50:12,0:08:22,4/17/20,4,2016
Friday,4/8/16,5,0:42:02,0:08:24,4/8/20,4,2016
Sunday,3/27/16,6,0:51:32,0:08:35,3/27/20,3,2016
Sunday,3/13/16,6,0:50:13,0:08:22,3/13/20,3,2016
Sunday,3/6/16,6.01,0:50:56,0:08:28,3/6/20,3,2016
Sunday,2/28/16,6,0:51:21,0:08:33,2/28/20,2,2016
Saturday,2/20/16,6.02,0:48:44,0:08:06,2/20/20,2,2016
Thursday,2/18/16,3,0:25:47,0:08:36,2/18/20,2,2016
Tuesday,2/16/16,2.83,0:22:58,0:08:07,2/16/20,2,2016
Sunday,2/14/16,5.02,0:40:18,0:08:02,2/14/20,2,2016
Sunday,2/7/16,3.03,0:23:59,0:07:55,2/7/20,2,2016
Sunday,1/17/16,6.03,0:51:24,0:08:31,1/17/20,1,2016
Sunday,1/10/16,6.03,0:51:01,0:08:28,1/10/20,1,2016
Sunday,1/3/16,6,0:50:17,0:08:23,1/3/20,1,2016
Sunday,12/27/15,6.01,0:49:43,0:08:16,12/27/20,12,2015
Friday,12/25/15,4.95,0:42:23,0:08:34,12/25/20,12,2015
Wednesday,12/23/15,6,0:52:14,0:08:42,12/23/20,12,2015
Sunday,12/13/15,6.01,0:50:06,0:08:20,12/13/20,12,2015
Sunday,12/6/15,6,0:50:33,0:08:26,12/6/20,12,2015
Thursday,11/26/15,6.02,0:51:28,0:08:33,11/26/20,11,2015
Sunday,11/22/15,6.01,0:48:51,0:08:08,11/22/20,11,2015
Sunday,11/8/15,6,0:51:13,0:08:32,11/8/20,11,2015
Sunday,11/1/15,6.02,0:51:19,0:08:31,11/1/20,11,2015
Sunday,10/25/15,6.02,0:51:01,0:08:28,10/25/20,10,2015
Sunday,10/18/15,5,0:41:07,0:08:13,10/18/20,10,2015
Sunday,10/4/15,6.02,0:51:27,0:08:33,10/4/20,10,2015
Sunday,9/27/15,6.02,0:51:08,0:08:30,9/27/20,9,2015
Sunday,9/13/15,6,0:51:39,0:08:37,9/13/20,9,2015
Sunday,9/6/15,6,0:51:07,0:08:31,9/6/20,9,2015
Sunday,8/30/15,6,0:52:47,0:08:48,8/30/20,8,2015
Sunday,8/23/15,6.08,0:51:01,0:08:23,8/23/20,8,2015
Sunday,8/16/15,6.04,0:52:09,0:08:38,8/16/20,8,2015
Sunday,8/9/15,6,0:51:48,0:08:38,8/9/20,8,2015
Thursday,8/6/15,5.02,0:44:20,0:08:50,8/6/20,8,2015
Wednesday,8/5/15,7.51,1:06:44,0:08:53,8/5/20,8,2015
Sunday,8/2/15,5.01,0:41:02,0:08:11,8/2/20,8,2015
Sunday,7/26/15,6.18,0:57:26,0:09:18,7/26/20,7,2015
Sunday,7/19/15,6.02,0:52:24,0:08:42,7/19/20,7,2015
Friday,7/17/15,5.01,0:41:49,0:08:21,7/17/20,7,2015
Thursday,7/16/15,5.02,0:40:21,0:08:02,7/16/20,7,2015
Sunday,7/12/15,6.03,0:50:42,0:08:24,7/12/20,7,2015
Sunday,7/5/15,6.09,0:51:04,0:08:23,7/5/20,7,2015
Wednesday,7/1/15,5.04,0:42:11,0:08:22,7/1/20,7,2015
Friday,6/26/15,7.3,1:03:07,0:08:39,6/26/20,6,2015
Sunday,6/21/15,6.02,0:50:45,0:08:26,6/21/20,6,2015
Sunday,6/14/15,6.25,0:55:26,0:08:52,6/14/20,6,2015
Sunday,6/7/15,6.01,0:51:02,0:08:29,6/7/20,6,2015
Wednesday,6/3/15,5,0:42:06,0:08:25,6/3/20,6,2015
Sunday,5/31/15,7.28,1:04:40,0:08:53,5/31/20,5,2015
Sunday,5/24/15,6,0:51:32,0:08:35,5/24/20,5,2015
Sunday,5/17/15,7.21,1:02:06,0:08:37,5/17/20,5,2015
Sunday,5/10/15,7.15,1:01:05,0:08:33,5/10/20,5,2015
Sunday,5/3/15,7.31,1:04:27,0:08:49,5/3/20,5,2015
Sunday,4/26/15,5.01,0:43:53,0:08:46,4/26/20,4,2015
Sunday,4/19/15,7.23,1:01:33,0:08:31,4/19/20,4,2015
Sunday,4/12/15,7.15,1:01:45,0:08:38,4/12/20,4,2015
Sunday,4/5/15,7.12,1:01:14,0:08:36,4/5/20,4,2015
Sunday,3/29/15,5.01,0:42:39,0:08:31,3/29/20,3,2015
Wednesday,3/25/15,3.01,0:26:57,0:08:57,3/25/20,3,2015
Sunday,3/22/15,5.02,0:42:51,0:08:32,3/22/20,3,2015
Sunday,3/15/15,5.03,0:43:23,0:08:37,3/15/20,3,2015
Sunday,3/1/15,5.01,0:41:08,0:08:13,3/1/20,3,2015
Sunday,2/22/15,5.02,0:41:14,0:08:13,2/22/20,2,2015
Saturday,2/14/15,5,0:42:06,0:08:25,2/14/20,2,2015
Sunday,2/8/15,5.02,0:42:48,0:08:32,2/8/20,2,2015
Sunday,1/25/15,5.02,0:42:22,0:08:26,1/25/20,1,2015
Sunday,1/11/15,5,0:42:58,0:08:36,1/11/20,1,2015
Sunday,1/4/15,5.03,0:44:27,0:08:50,1/4/20,1,2015
Wednesday,12/31/14,5.02,0:44:11,0:08:48,12/31/20,12,2014
Thursday,12/25/14,5.03,0:42:13,0:08:24,12/25/20,12,2014
Sunday,12/21/14,5.01,0:42:48,0:08:33,12/21/20,12,2014
Sunday,11/30/14,5,0:43:56,0:08:47,11/30/20,11,2014
Sunday,11/23/14,5.01,0:45:00,0:08:59,11/23/20,11,2014
Sunday,11/16/14,5,0:45:12,0:09:02,11/16/20,11,2014
Sunday,11/9/14,5.01,0:43:54,0:08:46,11/9/20,11,2014
