Day of week,Date,distance,Time,Pace,MD,Month,Year
Friday,10/30/2009,5.64,0:57:21,0:10:10,10/30/20,10,2009
Sunday,10/25/2009,6.57,1:08:02,0:10:21,10/25/20,10,2009
Wednesday,10/21/2009,3.92,0:38:17,0:09:46,10/21/20,10,2009
Sunday,10/18/2009,5.72,0:58:24,0:10:13,10/18/20,10,2009
Wednesday,10/14/2009,4.05,0:38:57,0:09:37,10/14/20,10,2009
Sunday,10/11/2009,5.96,1:01:31,0:10:19,10/11/20,10,2009
Tuesday,10/6/2009,3.98,0:39:35,0:09:57,10/6/20,10,2009
Saturday,10/3/2009,5.88,0:59:57,0:10:12,10/3/20,10,2009
Wednesday,9/30/2009,4.11,0:40:03,0:09:45,9/30/20,9,2009
Saturday,9/26/2009,6.01,0:59:34,0:09:55,9/26/20,9,2009
Tuesday,9/22/2009,6,0:59:04,0:09:51,9/22/20,9,2009
Thursday,9/10/2009,3.57,0:33:40,0:09:26,9/10/20,9,2009
Sunday,9/6/2009,5.21,0:53:53,0:10:21,9/6/20,9,2009
Sunday,8/30/2009,5,0:53:39,0:10:44,8/30/20,8,2009
Wednesday,8/26/2009,6.01,1:02:10,0:10:21,8/26/20,8,2009
Saturday,8/22/2009,3.18,0:31:37,0:09:57,8/22/20,8,2009
Wednesday,8/19/2009,3.62,0:38:28,0:10:38,8/19/20,8,2009
Friday,8/14/2009,4.83,0:51:05,0:10:35,8/14/20,8,2009
Tuesday,8/11/2009,3.55,0:37:28,0:10:33,8/11/20,8,2009
Sunday,8/9/2009,3.96,0:41:31,0:10:29,8/9/20,8,2009
Friday,8/7/2009,3.89,0:39:18,0:10:06,8/7/20,8,2009
Monday,8/3/2009,3.47,0:37:11,0:10:43,8/3/20,8,2009
Friday,7/31/2009,3.66,0:38:05,0:10:24,7/31/20,7,2009
Monday,7/27/2009,3.55,0:36:20,0:10:14,7/27/20,7,2009
Friday,7/24/2009,4.04,0:40:38,0:10:03,7/24/20,7,2009
Wednesday,7/22/2009,3.67,0:38:57,0:10:37,7/22/20,7,2009
Saturday,7/18/2009,4.84,0:50:48,0:10:30,7/18/20,7,2009
Thursday,7/16/2009,3.63,0:38:36,0:10:38,7/16/20,7,2009
Tuesday,7/14/2009,4.16,0:42:54,0:10:19,7/14/20,7,2009
Saturday,7/11/2009,4.83,0:51:35,0:10:41,7/11/20,7,2009
Thursday,7/9/2009,4.04,0:41:54,0:10:22,7/9/20,7,2009
Monday,7/6/2009,3.5,0:35:51,0:10:15,7/6/20,7,2009
Saturday,7/4/2009,4.69,0:49:11,0:10:29,7/4/20,7,2009
