STATION,NAME,DATE,TMAX,TMIN,Avg Temp
USC00367938,"SELLERSVILLE, PA US",1/1/2009,39,13,14
USC00367938,"SELLERSVILLE, PA US",1/2/2009,28,13,28
USC00367938,"SELLERSVILLE, PA US",1/3/2009,35,13,29
USC00367938,"SELLERSVILLE, PA US",1/4/2009,36,15,23
USC00367938,"SELLERSVILLE, PA US",1/5/2009,40,23,34
USC00367938,"SELLERSVILLE, PA US",1/6/2009,43,26,27
USC00367938,"SELLERSVILLE, PA US",1/7/2009,33,27,33
USC00367938,"SELLERSVILLE, PA US",1/8/2009,34,31,34
USC00367938,"SELLERSVILLE, PA US",1/9/2009,36,23,24
USC00367938,"SELLERSVILLE, PA US",1/10/2009,31,18,24
USC00367938,"SELLERSVILLE, PA US",1/11/2009,28,23,26
USC00367938,"SELLERSVILLE, PA US",1/12/2009,30,12,15
USC00367938,"SELLERSVILLE, PA US",1/13/2009,33,15,18
USC00367938,"SELLERSVILLE, PA US",1/14/2009,37,15,15
USC00367938,"SELLERSVILLE, PA US",1/15/2009,37,15,16
USC00367938,"SELLERSVILLE, PA US",1/16/2009,22,7,8
USC00367938,"SELLERSVILLE, PA US",1/17/2009,15,1,4
USC00367938,"SELLERSVILLE, PA US",1/18/2009,22,4,21
USC00367938,"SELLERSVILLE, PA US",1/19/2009,34,4,19
USC00367938,"SELLERSVILLE, PA US",1/20/2009,34,4,5
USC00367938,"SELLERSVILLE, PA US",1/21/2009,28,5,13
USC00367938,"SELLERSVILLE, PA US",1/22/2009,28,5,7
USC00367938,"SELLERSVILLE, PA US",1/23/2009,39,5,16
USC00367938,"SELLERSVILLE, PA US",1/24/2009,51,5,35
USC00367938,"SELLERSVILLE, PA US",1/25/2009,35,10,11
USC00367938,"SELLERSVILLE, PA US",1/26/2009,27,10,15
USC00367938,"SELLERSVILLE, PA US",1/27/2009,28,15,24
USC00367938,"SELLERSVILLE, PA US",1/28/2009,28,21,27
USC00367938,"SELLERSVILLE, PA US",1/29/2009,37,20,21
USC00367938,"SELLERSVILLE, PA US",1/30/2009,37,10,15
USC00367938,"SELLERSVILLE, PA US",1/31/2009,38,10,16
USC00367938,"SELLERSVILLE, PA US",2/1/2009,25,14,15
USC00367938,"SELLERSVILLE, PA US",2/2/2009,51,15,22
USC00367938,"SELLERSVILLE, PA US",2/3/2009,52,22,30
USC00367938,"SELLERSVILLE, PA US",2/4/2009,34,17,18
USC00367938,"SELLERSVILLE, PA US",2/5/2009,30,10,12
USC00367938,"SELLERSVILLE, PA US",2/6/2009,20,15,5
USC00367938,"SELLERSVILLE, PA US",2/7/2009,34,11,16
USC00367938,"SELLERSVILLE, PA US",2/8/2009,51,16,35
USC00367938,"SELLERSVILLE, PA US",2/9/2009,57,21,22
USC00367938,"SELLERSVILLE, PA US",2/10/2009,48,22,32
USC00367938,"SELLERSVILLE, PA US",2/11/2009,50,32,38
USC00367938,"SELLERSVILLE, PA US",2/12/2009,66,38,50
USC00367938,"SELLERSVILLE, PA US",2/13/2009,51,38,40
USC00367938,"SELLERSVILLE, PA US",2/14/2009,41,22,29
USC00367938,"SELLERSVILLE, PA US",2/15/2009,40,25,29
USC00367938,"SELLERSVILLE, PA US",2/16/2009,41,20,25
USC00367938,"SELLERSVILLE, PA US",2/17/2009,39,17,21
USC00367938,"SELLERSVILLE, PA US",2/18/2009,41,18,24
USC00367938,"SELLERSVILLE, PA US",2/19/2009,37,24,33
USC00367938,"SELLERSVILLE, PA US",2/20/2009,45,20,21
USC00367938,"SELLERSVILLE, PA US",2/21/2009,31,20,26
USC00367938,"SELLERSVILLE, PA US",2/22/2009,40,26,35
USC00367938,"SELLERSVILLE, PA US",2/23/2009,38,24,25
USC00367938,"SELLERSVILLE, PA US",2/24/2009,34,17,18
USC00367938,"SELLERSVILLE, PA US",2/25/2009,37,15,17
USC00367938,"SELLERSVILLE, PA US",2/26/2009,44,15,26
USC00367938,"SELLERSVILLE, PA US",2/27/2009,45,26,35
USC00367938,"SELLERSVILLE, PA US",2/28/2009,60,28,33
USC00367938,"SELLERSVILLE, PA US",3/1/2009,39,26,28
USC00367938,"SELLERSVILLE, PA US",3/2/2009,37,18,18
USC00367938,"SELLERSVILLE, PA US",3/3/2009,37,5,12
